update,win_rate,policy,value,entropy,pred,total,lr,eps,pool_size
153,0.54,0.0028584899846464396,0.02331697693443857,-2.371660202741623,0.013325238091056235,-0.0025370041839778423,0.000277814999999999,392,5
154,0.54,0.0020294897840358317,0.09073183662258089,-2.4105500131845474,0.061978787707630545,0.05427930236328393,0.000277669999999999,397,5
155,0.54,-0.0005754843587055802,0.006706931337248534,-2.395617827773094,0.007254636941070203,-0.017550878081237897,0.000277524999999999,397,5
156,0.53,-0.0004240649286657572,0.07783762202598155,-2.432495266199112,0.07085848604037892,0.049599036981817335,0.000277379999999999,401,5
157,0.51,-0.00428071100031957,0.08301062905229628,-2.382625460624695,0.02133647548907902,0.024066587051493116,0.000277234999999999,405,5
158,0.51,0.0016890012775547802,0.08477470651268959,-2.3713050931692123,0.01228726250701584,0.026506935915676877,0.000277089999999999,410,5
159,0.52,0.0032227934570983052,0.09171932563185692,-2.398581236600876,0.023353367650997825,0.03677332880033646,0.000276944999999999,415,5
160,0.52,0.006243909010663629,0.05723295849747956,-2.3684756755828857,0.043347963015548885,0.03284961392637342,0.000276799999999999,418,5
161,0.53,0.0021065387409180403,0.04373724083416164,-2.362862691283226,0.003614748035033699,0.0021539068657148164,0.00027665499999999897,421,5
162,0.53,0.014708626025822014,0.04478174704127014,-2.3941044360399246,0.0018182266067015007,0.014067568492464488,0.00027650999999999896,423,5
163,0.54,0.003977240354288369,0.020559313823468983,-2.380954086780548,0.03234719164902344,0.006620952452067286,0.00027636499999999896,424,5
164,0.52,0.005486848414875567,0.11102907499298453,-2.3834820687770844,0.0729296961799264,0.07363141397945583,0.00027621999999999895,431,5
165,0.53,0.008612076926510781,0.07153779407963157,-2.39789979159832,0.006470248132245615,0.023637100821360946,0.00027607499999999894,435,5
166,0.53,-0.004059717059135437,0.018781173101160675,-2.4151794016361237,0.006677432582364418,-0.015482208025787259,0.00027592999999999894,436,5
167,0.53,0.008172401576302946,0.053096199641004205,-2.3924986124038696,0.010093588047311641,0.015842310327570885,0.00027578499999999893,439,5
168,0.55,0.0017560034175403416,0.06950888107530773,-2.4243677854537964,0.006220020281034522,0.01537677705346141,0.0002756399999999989,443,5
169,0.54,-0.004541081318166107,0.04229272098746151,-2.4523731619119644,0.008432374845142476,-0.0037022643082309514,0.0002754949999999989,445,5
170,0.53,-0.000766717130318284,0.040842185146175325,-2.44268037378788,0.002557737665483728,-0.0034935588046209887,0.0002753499999999989,447,5
171,0.52,-0.002106202009599656,0.02049685054225847,-2.4308394342660904,0.02086355748178903,-0.005734391801524907,0.0002752049999999989,448,5
172,0.52,-0.00034688651794567704,0.019907096459064633,-2.4469161182641983,0.007834062598703895,-0.010945467685814947,0.0002750599999999989,449,5
173,0.53,0.0023809539852663875,0.020207063935231417,-2.4355140924453735,0.011960941807046765,-0.005890183383598924,0.0002749149999999989,450,5
174,0.53,-0.005270213587209582,0.002670905363629572,-2.4127187579870224,0.017959307580895256,-0.019082294224062935,0.0002747699999999989,450,5
175,0.54,0.001530137495137751,0.022799242491601035,-2.443087875843048,0.02827198630257044,0.0026348737519583665,0.0002746249999999989,451,5
176,0.54,0.0008866182179190218,0.039018828654661775,-2.4508772641420364,0.005588174048170913,-0.0013186524593038484,0.0002744799999999989,453,5
177,0.53,-0.007786199799738824,0.039909646613523364,-2.4546027928590775,0.06739194076362764,0.021318566519767046,0.00027433499999999887,455,5
178,0.52,-0.00516271369997412,0.04249261342920363,-2.396113693714142,0.02008997967641335,0.002167446567909792,0.00027418999999999886,457,5
179,0.51,-0.004125164530705661,0.07252677448559552,-2.4418775141239166,0.024362355507037137,0.019900626211892813,0.00027404499999999886,461,5
180,0.49,0.0009686144185252488,0.043112215120345354,-2.3846607208251953,0.019670757254061755,0.008513494103681296,0.00027389999999999885,463,5
181,0.49,-0.004186460006167181,0.02356279088417068,-2.430012419819832,0.014652591344201937,-0.009378892427776009,0.00027375499999999885,464,5
182,0.49,-0.002430949389236048,0.023715673596598208,-2.4603476226329803,0.005969996520434506,-0.012191589914436918,0.00027360999999999884,465,5
183,0.48,-0.007112163060810417,0.07348313485272229,-2.421281948685646,0.008311177443829365,0.009572174225468189,0.00027346499999999883,469,5
184,0.46,-0.0030864450964145362,0.019025553134270012,-2.4372448921203613,0.01800637849373743,-0.008942927903262898,0.0002733199999999988,471,5
185,0.46,-0.008998385630548,0.01671965469722636,-2.444439634680748,0.023035490899928845,-0.013565208530053496,0.0002731749999999988,472,5
186,0.46,0.005022199533414096,0.00354684580815956,-2.4443706423044205,0.04328128600900527,0.003992559388279915,0.0002730299999999988,472,5
187,0.44,-0.00039306108374148607,0.05788738536648452,-2.430730164051056,0.00399125789408572,0.006238959373149555,0.0002728849999999988,475,5
188,0.44,-0.005662796087563038,0.027679783292114735,-2.474152088165283,0.005766994661826175,-0.013680927317182068,0.0002727399999999988,476,5
189,0.44,0.003048317594220862,0.00450200513296295,-2.4285832196474075,0.023523230018327013,-0.007224896369734779,0.0002725949999999988,476,5
190,0.45,0.0012612164136953652,0.03165372146759182,-2.4660152792930603,0.005092412553494796,-0.0050258686824236065,0.0002724499999999988,478,5
191,0.45,-0.002820929978042841,0.02076722920173779,-2.4645507633686066,0.012586480748723261,-0.01078958172001876,0.0002723049999999988,479,5
192,0.45,-0.0001475967583246529,0.041102507268078625,-2.4295452535152435,0.010924050511675887,0.0015702299642725848,0.0002721599999999988,481,5
193,0.45,-0.004939571255818009,0.042062380351126194,-2.4408887028694153,0.022890771011589095,0.0031281175615731627,0.00027201499999999877,483,5
194,0.45,-0.0035111018805764616,0.02381253452040255,-2.4495842456817627,0.03170689876424149,-0.00024722685338929296,0.00027186999999999876,484,5
195,0.44,0.0002176101552322507,0.022313161636702716,-2.457412153482437,0.006168797466671094,-0.010115531469637062,0.00027172499999999876,485,5
196,0.45,0.0002069079491775483,0.046855714404955506,-2.4442104548215866,0.05349681302323006,0.02594106789911166,0.00027157999999999875,488,5
197,0.44,-0.005098096211440861,0.020499175298027694,-2.424968048930168,0.0314297262520995,-0.0033833254128694534,0.00027143499999999875,489,5
198,0.44,-0.00638434971915558,0.004441219178261235,-2.448156788945198,0.013125309720635414,-0.02208265254739672,0.00027128999999999874,489,5
199,0.44,-0.000341612845659256,0.01748947863234207,-2.4175881892442703,0.015015304292319342,-0.008265102689620107,0.00027114499999999873,490,5
200,0.44,-0.0058600491611287,0.019020879175513983,-2.451934888958931,0.012996335339266807,-0.014370790333487093,0.0002709999999999987,491,5
201,0.43,-0.0024593936395831406,0.016517923737410456,-2.4822684973478317,0.007817647456249688,-0.015114292618818581,0.0002708549999999987,492,5
202,0.43,-0.005975407257210463,0.023134710907470435,-2.4716030061244965,0.0060784739325754344,-0.016084844639408402,0.0002707099999999987,493,5
203,0.42,-0.0016328733181580901,0.04282998538110405,-2.4105764478445053,0.025120476551819593,0.00823659349407535,0.0002705649999999987,495,5
204,0.44,0.001953854050952941,0.057800763519480824,-2.4386972934007645,0.03116334162768908,0.02204893466841895,0.0002704199999999987,499,5
205,0.44,-0.004173309658654034,0.0035399638436501846,-2.448492854833603,0.03894890868104994,-0.007413801911752671,0.0002702749999999987,499,5
206,0.44,0.0030550440424121916,0.024789116228930652,-2.4456501454114914,0.030868212903442327,0.006427207845263183,0.0002701299999999987,500,5
