CynthAI_v2 self-play  |  3,783,427 params  |  device=cuda  |  3000 updates
 update    win%    policy     value   entropy      pred     total        lr  info  opp
Training:   0%|          | 1/3000 [00:53<44:26:06, 53.34s/updates, WR=33.3%  loss=26.818  lr=1.25e-05  opp=self  eps=6]wandb: WARNING Tried to log to step 1 that is less than the current step 4. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
      1   33.3%    0.0987    1.0311   -2.0024   41.1338   26.8180  1.25e-05  [53.1s  eps=6  pool=0  gn=9.227  cf=0.626  ev=-0.035  am=0.463  as=0.797  rd=0.4008  ia=0.35 aa=0.04 ma=0.08  ae=2.0594  ar=1.8510  rr=0.0036  opp=self]
     43   99.0%    0.0201    0.9633   -0.7742    0.2066    2.0649  2.50e-04  [59.1s  eps=3534  pool=0  gn=2.545  cf=0.308  ev=0.033  am=1.686  as=0.954  rd=0.2226  ia=1.00 aa=1.00 ma=0.62  ae=0.7972  ar=1.6476  rr=0.0046  opp=ema]
     44  100.0%    0.0401    0.9704   -0.7260    0.2092    2.1009  2.50e-04  [61.3s  eps=3653  pool=0  gn=2.475  cf=0.285  ev=0.025  am=1.904  as=0.855  rd=0.2117  ia=1.00 aa=1.00 ma=0.63  ae=0.7939  ar=1.6343  rr=0.0047  opp=ema]
     45  100.0%    0.0221    0.8727   -0.6682    0.1998    1.8824  2.50e-04  [61.0s  eps=3771  pool=0  gn=2.870  cf=0.260  ev=0.124  am=1.890  as=0.876  rd=0.1892  ia=1.00 aa=1.00 ma=0.64  ae=0.7573  ar=1.6360  rr=0.0046  opp=ema]
     46  100.0%    0.0314    0.9251   -0.7173    0.1889    1.9898  2.50e-04  [60.1s  eps=3886  pool=0  gn=2.855  cf=0.279  ev=0.069  am=1.921  as=0.854  rd=0.2030  ia=1.00 aa=1.00 ma=0.66  ae=0.7562  ar=1.6455  rr=0.0046  opp=ema]
     47   98.0%    0.0169    0.8687   -0.7013    0.1867    1.8608  2.50e-04  [59.6s  eps=4003  pool=0  gn=2.897  cf=0.264  ev=0.126  am=1.810  as=0.869  rd=0.2006  ia=1.00 aa=1.00 ma=0.66  ae=0.7620  ar=1.6987  rr=0.0043  opp=ema]
     48  100.0%    0.0223    0.9170   -0.5815    0.1894    1.9649  2.50e-04  [60.3s  eps=4118  pool=0  gn=3.041  cf=0.250  ev=0.078  am=1.885  as=0.826  rd=0.1785  ia=1.00 aa=1.00 ma=0.66  ae=0.7514  ar=1.7182  rr=0.0042  opp=ema]
     49   98.0%    0.0230    0.8919   -0.5263    0.1799    1.9097  2.50e-04  [60.9s  eps=4231  pool=0  gn=3.166  cf=0.227  ev=0.104  am=1.831  as=0.874  rd=0.1749  ia=1.00 aa=1.00 ma=0.67  ae=0.7512  ar=1.7533  rr=0.0041  opp=ema]
     50   99.0%    0.0265    0.9316   -0.4597    0.1759    1.9906  2.50e-04  [60.8s  eps=4349  pool=0  gn=2.704  cf=0.217  ev=0.064  am=1.813  as=0.808  rd=0.1812  ia=1.00 aa=1.00 ma=0.67  ae=0.7452  ar=1.7289  rr=0.0042  opp=ema]
     51  100.0%    0.0187    0.8819   -0.5545    0.1760    1.8831  2.50e-04  [60.7s  eps=4459  pool=0  gn=2.860  cf=0.225  ev=0.116  am=1.804  as=0.846  rd=0.1657  ia=1.00 aa=1.00 ma=0.68  ae=0.7564  ar=1.7435  rr=0.0041  opp=ema]
     52  100.0%    0.0259    0.9388   -0.6284    0.1755    2.0030  2.50e-04  [60.2s  eps=4577  pool=0  gn=3.263  cf=0.244  ev=0.057  am=1.843  as=0.880  rd=0.2082  ia=1.00 aa=1.00 ma=0.68  ae=0.7871  ar=1.7781  rr=0.0039  opp=ema]
